RUN	com.maveric.gatling.moodle	moodle	1575628608016	 	3.3.1
USER	CreateContent	1	START	1575628609979	1575628609979
USER	DeleteContent	2	START	1575628609982	1575628609982
REQUEST	2	Homepage	Home_Page	1575628610042	1575628610596	OK	 
REQUEST	1	Homepage	Home_Page	1575628610043	1575628610589	OK	 
GROUP	2	Homepage	1575628609989	1575628611669	1444	OK
REQUEST	2	Open Login Page	Open_Login_Page	1575628611670	1575628611882	OK	 
GROUP	2	Open Login Page	1575628611669	1575628611933	213	OK
GROUP	1	Homepage	1575628609989	1575628612296	2064	OK
REQUEST	2	Login	Login	1575628611950	1575628612335	OK	 
REQUEST	2	Login	Login Redirect 1	1575628612343	1575628612538	OK	 
REQUEST	1	Open Login Page	Open_Login_Page	1575628612297	1575628612651	OK	 
GROUP	1	Open Login Page	1575628612296	1575628612661	355	OK
REQUEST	2	Login	Login Redirect 2	1575628612540	1575628613282	OK	 
REQUEST	1	Login	Login	1575628612662	1575628613301	OK	 
REQUEST	1	Login	Login Redirect 1	1575628613303	1575628613919	OK	 
GROUP	2	Login	1575628611934	1575628614461	2473	OK
REQUEST	1	Login	Login Redirect 2	1575628613920	1575628615015	OK	 
REQUEST	2	Click on site Administraton	Click_on_Site_Administration	1575628614462	1575628615064	OK	 
GROUP	2	Click on site Administraton	1575628614461	1575628615105	633	OK
GROUP	1	Login	1575628612661	1575628616186	3504	OK
REQUEST	2	02_Click on manage Cources	Manage Cources	1575628615110	1575628616413	OK	 
GROUP	2	02_Click on manage Cources	1575628615109	1575628616503	1378	OK
REQUEST	1	Click on site Administraton	Click_on_Site_Administration	1575628616187	1575628616761	OK	 
GROUP	1	Click on site Administraton	1575628616186	1575628616807	612	OK
REQUEST	2	02_Click on delete Button	request_35	1575628616507	1575628616964	OK	 
GROUP	2	02_Click on delete Button	1575628616503	1575628616972	458	OK
REQUEST	1	Click_On_Add_Course	01_Click_On_Add_Course	1575628616807	1575628617547	OK	 
GROUP	1	Click_On_Add_Course	1575628616807	1575628618135	1307	OK
REQUEST	2	02_Confirm Delete	Confirm Delete	1575628616972	1575628618268	OK	 
GROUP	2	02_Confirm Delete	1575628616972	1575628618279	1298	OK
REQUEST	1	01_Subit Data	Submit_Course_Data	1575628618284	1575628619235	OK	 
REQUEST	2	02_Click Continue	request_39	1575628618279	1575628619335	OK	 
GROUP	2	02_Click Continue	1575628618279	1575628619345	1057	OK
REQUEST	2	Logout	Logout	1575628619346	1575628619597	OK	 
REQUEST	1	01_Subit Data	Submit_Course_Data	1575628619236	1575628619789	OK	 
GROUP	1	01_Subit Data	1575628618135	1575628619800	0	OK
REQUEST	2	Logout	Logout Redirect 1	1575628619599	1575628620047	OK	 
GROUP	2	Logout	1575628619346	1575628620053	700	OK
USER	DeleteContent	2	END	1575628609982	1575628620065
REQUEST	1	01_Click On proceed to course content	Click_On_Proceed_To_Course_Content	1575628619801	1575628620304	OK	 
GROUP	1	01_Click On proceed to course content	1575628619800	1575628620350	540	OK
REQUEST	1	Logout	Logout	1575628620351	1575628620477	OK	 
REQUEST	1	Logout	Logout Redirect 1	1575628620478	1575628620743	OK	 
GROUP	1	Logout	1575628620351	1575628620749	392	OK
USER	CreateContent	1	END	1575628609979	1575628620750
